usuario_id,usuario_externo_id,username,email,nombre,apellido,nombre_completo,activo,created_at
36,36,eugene.rivera_ea82c,eugene.rivera_ea830@msn.com,Eugene,Rivera,Eugene Rivera,True,2025-10-05 04:19:53
37,37,victor.mann_183ee,victor.mann_183f4@yahoo.com,Victor,Mann,Victor Mann,True,2025-10-05 04:19:54
38,38,henry.valentine_39af6,henry.valentine_39afc@aol.com,Henry,Valentine,Henry Valentine,True,2025-10-05 04:19:54
39,39,jack.obrien_591ce,jack.obrien_591d3@gmail.com,Jack,Obrien,Jack Obrien,True,2025-10-05 04:19:54
40,40,stephen.mcneil_7b43c,stephen.mcneil_7b442@msn.com,Stephen,Mcneil,Stephen Mcneil,True,2025-10-05 04:19:54
41,41,reynold.cortez_9b909,reynold.cortez_9b90e@msn.com,Reynold,Cortez,Reynold Cortez,True,2025-10-05 04:19:54
42,42,christopher.perkins_c6d2a,christopher.perkins_c6d2f@msn.com,Christopher,Perkins,Christopher Perkins,True,2025-10-05 04:19:54
43,43,frank.cortez_eaae7,frank.cortez_eaaee@msn.com,Frank,Cortez,Frank Cortez,True,2025-10-05 04:19:54
44,44,mathew.reilly_39447,mathew.reilly_3944d@aol.com,Mathew,Reilly,Mathew Reilly,True,2025-10-05 04:19:55
45,45,luther.benson_6a275,luther.benson_6a27c@aol.com,Luther,Benson,Luther Benson,True,2025-10-05 04:19:55
46,46,sam.berger_93e3d,sam.berger_93e43@gmail.com,Sam,Berger,Sam Berger,True,2025-10-05 04:19:55
47,47,harry.mays_b675e,harry.mays_b6763@gmail.com,Harry,Mays,Harry Mays,True,2025-10-05 04:19:55
48,48,hugh.callahan_da66c,hugh.callahan_da672@gmail.com,Hugh,Callahan,Hugh Callahan,True,2025-10-05 04:19:55
49,49,timothy.weeks_0e7c2,timothy.weeks_0e7c8@gmail.com,Timothy,Weeks,Timothy Weeks,True,2025-10-05 04:19:56
50,50,stephen.barry_3436a,stephen.barry_34371@aol.com,Stephen,Barry,Stephen Barry,True,2025-10-05 04:19:56
51,51,nicholas.lindsey_5e101,nicholas.lindsey_5e10a@yahoo.com,Nicholas,Lindsey,Nicholas Lindsey,True,2025-10-05 04:19:56
52,52,will.fuentes_8bcd4,will.fuentes_8bcdc@gmail.com,Will,Fuentes,Will Fuentes,True,2025-10-05 04:19:56
53,53,jack.greene_c10de,jack.greene_c10e4@gmail.com,Jack,Greene,Jack Greene,True,2025-10-05 04:19:56
54,54,admintest,admintest@oro.local,Admin,Test,Admin Test,True,2025-11-05 21:22:47
